"","words","n","mean_dot_x","fisher_p_values_dot_x","high_low"
"1","uh",432,-6.23854691617979,0.000103082156478714,"Low"
"2","aside",8,-5.77401453194612,0.000103082156478714,"Low"
"3","um",2816,-5.4489216258994,0.000103082156478714,"Low"
"4","yo",8,-4.89433534677157,0.000103082156478714,"Low"
"5","etc",48,-4.55022305146934,0.000103082156478714,"Low"
"6","maybe",120,-4.51243386124713,0.000103082156478714,"Low"
"7","instance",16,-4.48026489902277,0.000103082156478714,"Low"
"8","et",32,-4.462675340556,0.000103082156478714,"Low"
"9","unless",8,-4.38883480963303,0.000103082156478714,"Low"
"10","either",8,-4.3437886628529,0.000103082156478714,"Low"
"11","almost",8,-4.24032633180826,0.000103082156478714,"Low"
"12","whether",72,-4.23122254016179,0.000103082156478714,"Low"
"13","yeah",416,-4.16818026783458,0.000103082156478714,"Low"
"14","yet",288,-4.13559046414925,0.000103082156478714,"Low"
"15","example",80,-4.08787241380877,0.000103082156478714,"Low"
"16","sort",88,-4.03192708331013,0.000000205717689180942,"Low"
"17","couple",40,-4.01106490033143,0.000103082156478714,"Low"
"18","passing",8,-3.92439937977285,0.000103082156478714,"Low"
"19","whereas",16,-3.8968217645235,0.000103082156478714,"Low"
"20","obviously",72,-3.8556139658015,0.000103082156478714,"Low"
"21","sa",8,-3.80035096195985,0.000103082156478714,"Low"
"22","unfortunately",8,-3.79678753539917,0.000103082156478714,"Low"
"23","south",8,-3.77432307156887,0.000103082156478714,"Low"
"24","virtually",8,-3.73951930870373,0.000103082156478714,"Low"
"25","even",216,-3.73471021557298,0.000103082156478714,"Low"
"26","ii",24,-3.71266616138612,0.000103082156478714,"Low"
"27","just",976,-3.69588595775763,0.000103082156478714,"Low"
"28","looming",8,-3.67450909374125,0.000103082156478714,"Low"
"29","literally",16,-3.67358741285834,0.000103082156478714,"Low"
"30","might",32,-3.59401641460984,0.000103082156478714,"Low"
"31","besides",24,-3.56744524665754,0.000103082156478714,"Low"
"32","perhaps",24,-3.52199287665609,0.000103082156478714,"Low"
"33","right",568,-3.50880808915401,0.000103082156478714,"Low"
"34","referring",8,-3.5071111529305,0.000103082156478714,"Low"
"35","constitute",8,-3.41169794114443,0.000103082156478714,"Low"
"36","near",32,-3.4056591740365,0.000000000446642296786681,"Low"
"37","slash",8,-3.38244721142743,0.000103082156478714,"Low"
"38","may",88,-3.31161051273294,0.000103082156478714,"Low"
"39","sorry",64,-3.29423145769222,0.000103082156478714,"Low"
"40","anywhere",8,-3.25533517278213,0.000103082156478714,"Low"
"41","necessarily",96,-3.24951008247603,0.000103082156478714,"Low"
"42","guys",8,-3.21762550292011,0.000103082156478714,"Low"
"43","fast",8,-3.15368808885464,0.000103082156478714,"Low"
"44","probably",40,-3.13984784138011,0.000103082156478714,"Low"
"45","stuff",48,-3.1141923880132,0.000103082156478714,"Low"
"46","previous",16,-3.10458923273178,0.000103082156478714,"Low"
"47","oh",16,-3.07799578848848,0.000103082156478714,"Low"
"48","least",88,-3.06465847604027,0.000103082156478714,"Low"
"49","exact",32,-3.04206797667315,0.000000205717689180942,"Low"
"50","say",816,-3.03060942524565,0.000000205717689180942,"Low"
"51","parents",80,3.54274454989754,0.000103082156478714,"High"
"52","navigate",16,3.56762053463874,0.000103082156478714,"High"
"53","motivate",48,3.59965801980868,0.000000205717689180942,"High"
"54","fortunate",56,3.62509245052841,0.000103082156478714,"High"
"55","girlfriend",24,3.6388020211903,0.000103082156478714,"High"
"56","connection",80,3.64560188758511,0.000000205717689180942,"High"
"57","tight",8,3.66066177790902,0.000103082156478714,"High"
"58","provide",48,3.69178560128548,0.000000205717689180942,"High"
"59","adjusted",16,3.74617169442333,0.000000205717689180942,"High"
"60","system",88,3.79763846072224,0.000000205717689180942,"High"
"61","siblings",24,3.80796991858122,0.000103082156478714,"High"
"62","thrive",16,3.81287016824151,0.000103082156478714,"High"
"63","bright",16,3.83969939423898,0.000103082156478714,"High"
"64","social",176,3.842044368782,0.000000205717689180942,"High"
"65","interact",40,3.86071735431633,0.000000000446642296786681,"High"
"66","amazing",112,3.86640188542961,0.000103082156478714,"High"
"67","active",80,3.92490782766697,0.000000000446642296786681,"High"
"68","optimistic",40,3.95678588859458,0.000103082156478714,"High"
"69","belonging",24,3.95983864064913,0.000103082156478714,"High"
"70","driven",8,3.97306618170336,0.000103082156478714,"High"
"71","rely",16,4.00306678910238,0.000103082156478714,"High"
"72","blessed",48,4.03000763865167,0.000000205717689180942,"High"
"73","fantastic",8,4.09565879578182,0.000103082156478714,"High"
"74","value",72,4.09763623409456,0.000000205717689180942,"High"
"75","enjoy",200,4.1102726924475,0.00000000000101210720336986,"High"
"76","entertainment",8,4.15289048237819,0.000103082156478714,"High"
"77","tremendous",8,4.16473541365567,0.000103082156478714,"High"
"78","friend",840,4.27144800686227,0.000000000446642296786681,"High"
"79","healthy",88,4.290165260829,0.000103082156478714,"High"
"80","trusts",8,4.32392148577951,0.000103082156478714,"High"
"81","preferences",8,4.52462704524963,0.000103082156478714,"High"
"82","solid",8,4.53917032622058,0.000103082156478714,"High"
"83","constructive",16,4.66402556359231,0.000103082156478714,"High"
"84","engage",24,4.7261246743517,0.000000205717689180942,"High"
"85","happier",16,4.77881023629774,0.000103082156478714,"High"
"86","happiness",640,4.82058440370953,0.000000205717689180942,"High"
"87","care",152,4.94387967612473,0.000000000446642296786681,"High"
"88","relationship",440,5.04201301885559,0.000000205717689180942,"High"
"89","joy",80,5.09169523380542,0.000103082156478714,"High"
"90","happily",8,5.11475855919012,0.000103082156478714,"High"
"91","sustain",8,5.13184374647184,0.000103082156478714,"High"
"92","support",256,5.27237811749434,0.00000000000000235294687607339,"High"
"93","members",8,5.3635692692488,0.000103082156478714,"High"
"94","family",744,5.39624335402547,0.000103082156478714,"High"
"95","bonds",8,5.46086755191674,0.000103082156478714,"High"
"96","mutual",8,5.52083896313694,0.000103082156478714,"High"
"97","friendship",40,5.56813290583748,0.000000205717689180942,"High"
"98","love",336,5.58570427393939,0.00000000000101210720336986,"High"
"99","favorite",8,5.66126688112415,0.000103082156478714,"High"
"100","vibrant",8,5.67992279562282,0.000103082156478714,"High"
