"","words","n","mean_dot_x","fisher_p_values_dot_x","high_low"
"1","um",2416,-3.21740224379724,0.000102616726526424,"Low"
"2","uh",552,-2.9826808092526,0.000102616726526424,"Low"
"3","flip",8,-2.21554110042907,0.000102616726526424,"Low"
"4","kinda",8,-2.19462733445653,0.000102616726526424,"Low"
"5","bit",48,-2.16741523043711,0.000102616726526424,"Low"
"6","yeah",312,-2.11928434748176,0.000102616726526424,"Low"
"7","due",8,-2.03556064187882,0.000102616726526424,"Low"
"8","ii",32,-2.02794534006472,0.000102616726526424,"Low"
"9","guess",144,-1.9555595919605,0.000102616726526424,"Low"
"10","suppose",24,-1.94919658221768,0.000102616726526424,"Low"
"11","sorry",8,-1.94857077543663,0.000102616726526424,"Low"
"12","occasionally",16,-1.89897130414856,0.000102616726526424,"Low"
"13","although",64,-1.85676730588367,0.000102616726526424,"Low"
"14","maybe",192,-1.83829653211684,0.000102616726526424,"Low"
"15","bi",8,-1.81471019331717,0.000102616726526424,"Low"
"16","short",8,-1.80893090204905,0.000102616726526424,"Low"
"17","oh",80,-1.79985079654698,0.000102616726526424,"Low"
"18","especially",240,-1.77721963344456,0.000102616726526424,"Low"
"19","etc",72,-1.75354611952062,0.000102616726526424,"Low"
"20","perhaps",16,-1.72255127348293,0.000102616726526424,"Low"
"21","et",16,-1.70402983600298,0.000102616726526424,"Low"
"22","ib",8,-1.69762940156937,0.000102616726526424,"Low"
"23","sometime",448,-1.67548122172865,0.000000203959502183918,"Low"
"24","unfortunately",24,-1.67469455913615,0.000102616726526424,"Low"
"25","though",144,-1.66828331569502,0.000102616726526424,"Low"
"26","partially",32,-1.66538494899474,0.000102616726526424,"Low"
"27","however",384,-1.63659350473105,0.000102616726526424,"Low"
"28","even",360,-1.63483712047887,0.000102616726526424,"Low"
"29","besides",8,-1.6192894693691,0.000102616726526424,"Low"
"30","mildly",8,-1.61812939132565,0.000102616726526424,"Low"
"31","instance",72,-1.61794881296533,0.000000203959502183918,"Low"
"32","often",240,-1.56835162737934,0.000102616726526424,"Low"
"33","fairly",16,-1.55890856089529,0.000102616726526424,"Low"
"34","whereas",24,-1.54792692848972,0.000102616726526424,"Low"
"35","several",24,-1.51084516576428,0.000102616726526424,"Low"
"36","part",80,-1.49947338762722,0.00000145664148935891,"Low"
"37","hand",56,-1.49926385658173,0.000102616726526424,"Low"
"38","somewhat",56,-1.49862109854439,0.000102616726526424,"Low"
"39","sort",104,-1.49426475208581,0.000102616726526424,"Low"
"40","gen",8,-1.46985286323022,0.000102616726526424,"Low"
"41","problem",8,-1.41772099387051,0.000102616726526424,"Low"
"42","lunch",8,-1.38840890032001,0.000102616726526424,"Low"
"43","slightly",16,-1.38682088077689,0.000102616726526424,"Low"
"44","10",16,-1.37561577851387,0.000102616726526424,"Low"
"45","couple",16,-1.36710051158379,0.000102616726526424,"Low"
"46","coffee",8,-1.3335678208963,0.000102616726526424,"Low"
"47","may",200,-1.32983806418683,0.000102616726526424,"Low"
"48","mostly",48,-1.32803751738851,0.000102616726526424,"Low"
"49","usually",136,-1.32599508243341,0.000102616726526424,"Low"
"50","ok",48,-1.32026548718558,0.000102616726526424,"Low"
"51","admirable",24,1.26931412182736,0.000102616726526424,"High"
"52","stance",8,1.2736768643907,0.000102616726526424,"High"
"53","conclusion",8,1.27939148093164,0.000102616726526424,"High"
"54","opinion",328,1.30024150353034,0.000000203959502183918,"High"
"55","observant",32,1.3026326895203,0.000000203959502183918,"High"
"56","lone",8,1.30933506017469,0.000102616726526424,"High"
"57","attitude",8,1.32871394413479,0.000102616726526424,"High"
"58","view",80,1.33796721000185,0.000000000441038399409406,"High"
"59","motivated",40,1.35142993525417,0.000000203959502183918,"High"
"60","done",80,1.35524751252918,0.000102616726526424,"High"
"61","desirable",56,1.35704482488316,0.000000000441038399409406,"High"
"62","urge",16,1.36256704841189,0.000102616726526424,"High"
"63","prefer",48,1.36627567422459,0.000000000441038399409406,"High"
"64","embraced",8,1.36747492138674,0.000102616726526424,"High"
"65","goal",136,1.3675188371738,0.000000203959502183918,"High"
"66","judgment",24,1.37145396708005,0.000000203959502183918,"High"
"67","determine",24,1.37517713615002,0.000000203959502183918,"High"
"68","assured",8,1.37730218625465,0.000102616726526424,"High"
"69","hold",64,1.38506572866354,0.000000203959502183918,"High"
"70","commit",8,1.38853475175962,0.000102616726526424,"High"
"71","found",24,1.39731352759326,0.000102616726526424,"High"
"72","behave",24,1.43852422221639,0.000102616726526424,"High"
"73","judgement",16,1.44467508426087,0.000102616726526424,"High"
"74","mirror",8,1.44683719039914,0.000102616726526424,"High"
"75","standards",8,1.45578043576859,0.000102616726526424,"High"
"76","assumptions",16,1.45853244228847,0.000102616726526424,"High"
"77","objective",32,1.46153427546729,0.000000203959502183918,"High"
"78","action",280,1.47164162340327,0.000000203959502183918,"High"
"79","achieve",40,1.476092396958,0.000000000441038399409406,"High"
"80","perceive",48,1.49267355010347,0.000000203959502183918,"High"
"81","choose",208,1.50068184296517,0.000000203959502183918,"High"
"82","perception",40,1.51183304755441,0.000000203959502183918,"High"
"83","decision",3032,1.52453560412944,0.000000203959502183918,"High"
"84","image",8,1.53859986378634,0.000102616726526424,"High"
"85","conviction",16,1.53868523341535,0.000000203959502183918,"High"
"86","creating",8,1.5403282051035,0.000102616726526424,"High"
"87","share",8,1.54960033354729,0.000102616726526424,"High"
"88","persuaded",8,1.56813244578419,0.000102616726526424,"High"
"89","purpose",24,1.57375674361833,0.000102616726526424,"High"
"90","choice",264,1.59102074560272,0.000000203959502183918,"High"
"91","deemed",40,1.5937428304687,0.000102616726526424,"High"
"92","agency",8,1.64125530530315,0.000102616726526424,"High"
"93","agenda",8,1.67852680067963,0.000102616726526424,"High"
"94","compelled",8,1.70227501093169,0.000102616726526424,"High"
"95","act",96,1.7316880522973,0.000000203959502183918,"High"
"96","belief",120,1.73427917991774,0.000000203959502183918,"High"
"97","expect",48,1.75226622909879,0.000000203959502183918,"High"
"98","aspirational",32,1.76695790160364,0.000102616726526424,"High"
"99","chosen",8,1.94942271202538,0.000102616726526424,"High"
"100","aiming",8,2.15216095002733,0.000102616726526424,"High"
