"","words","n","mean_dot_x","fisher_p_values_dot_x","high_low"
"1","uh",552,-4.28909656639874,0.00010257462303826,"Low"
"2","um",2416,-4.19693117549569,0.00010257462303826,"Low"
"3","bi",8,-3.9020945834121,0.00010257462303826,"Low"
"4","semester",16,-3.42997899120951,0.00010257462303826,"Low"
"5","oh",80,-3.30266159421272,0.00010257462303826,"Low"
"6","gen",8,-3.21874597488679,0.00010257462303826,"Low"
"7","whole",8,-3.16454805611704,0.00010257462303826,"Low"
"8","yeah",312,-3.11025247903874,0.00010257462303826,"Low"
"9","dorm",8,-2.93860792942705,0.00010257462303826,"Low"
"10","senior",8,-2.8557168710762,0.00010257462303826,"Low"
"11","et",16,-2.81822727619022,0.00010257462303826,"Low"
"12","10",16,-2.80845270579503,0.00010257462303826,"Low"
"13","summer",16,-2.78428759818362,0.00010257462303826,"Low"
"14","ii",32,-2.75433221220337,0.00010257462303826,"Low"
"15","graduation",32,-2.73768425857251,0.00010257462303826,"Low"
"16","sophomore",16,-2.72461708452815,0.00010257462303826,"Low"
"17","etc",72,-2.72324630266344,0.00010257462303826,"Low"
"18","hey",8,-2.71756507030807,0.00010257462303826,"Low"
"19","forth",8,-2.61623499731142,0.00010257462303826,"Low"
"20","grand",8,-2.61519177995926,0.00010257462303826,"Low"
"21","freshman",16,-2.59155188259645,0.00010257462303826,"Low"
"22","stuff",72,-2.52413174562919,0.00010257462303826,"Low"
"23","ib",8,-2.50389207804235,0.00010257462303826,"Low"
"24","campus",16,-2.4551450127523,0.00010257462303826,"Low"
"25","nearing",16,-2.39477943686378,0.000000203800803693673,"Low"
"26","hall",8,-2.34319246373438,0.00010257462303826,"Low"
"27","undergraduate",8,-2.34306743043224,0.00010257462303826,"Low"
"28","short",8,-2.33004323854368,0.00010257462303826,"Low"
"29","bunch",32,-2.30548246259726,0.00010257462303826,"Low"
"30","kinda",8,-2.30462629406075,0.00010257462303826,"Low"
"31","vice",8,-2.29336617064049,0.00010257462303826,"Low"
"32","guess",144,-2.27853602486115,0.00010257462303826,"Low"
"33","know",848,-2.27207944877024,0.00010257462303826,"Low"
"34","except",8,-2.26967271427343,0.00010257462303826,"Low"
"35","abroad",40,-2.25641230303049,0.00010257462303826,"Low"
"36","besides",8,-2.22301990274874,0.00010257462303826,"Low"
"37","sort",104,-2.22287047231283,0.00010257462303826,"Low"
"38","months",8,-2.21501572031757,0.00010257462303826,"Low"
"39","weekend",24,-2.1805328903264,0.00010257462303826,"Low"
"40","college",128,-2.17202428860083,0.00010257462303826,"Low"
