X,survey_name,scale_name,scored_scale,pID,score,n_items,n_missing,method,measure,score_std
1,LP2 well-being prediction,PWB,autonomy,WBP001,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
2,LP2 well-being prediction,PWB,autonomy,WBP002,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
3,LP2 well-being prediction,PWB,autonomy,WBP003,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
4,LP2 well-being prediction,PWB,autonomy,WBP004,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
5,LP2 well-being prediction,PWB,autonomy,WBP005,5,3,0,mean,PWB autonomy,0.153665996507841
6,LP2 well-being prediction,PWB,autonomy,WBP006,5.33333333333333,3,0,mean,PWB autonomy,0.436149870939273
7,LP2 well-being prediction,PWB,autonomy,WBP007,2.66666666666667,3,0,mean,PWB autonomy,-1.8237211245122
8,LP2 well-being prediction,PWB,autonomy,WBP008,6.66666666666667,3,0,mean,PWB autonomy,1.56608536866502
9,LP2 well-being prediction,PWB,autonomy,WBP009,6.33333333333333,3,0,mean,PWB autonomy,1.28360149423358
10,LP2 well-being prediction,PWB,autonomy,WBP010,6.33333333333333,3,0,mean,PWB autonomy,1.28360149423358
11,LP2 well-being prediction,PWB,autonomy,WBP011,4.33333333333333,3,0,mean,PWB autonomy,-0.411301752355031
12,LP2 well-being prediction,PWB,autonomy,WBP012,5,3,0,mean,PWB autonomy,0.153665996507841
13,LP2 well-being prediction,PWB,autonomy,WBP013,5,3,0,mean,PWB autonomy,0.153665996507841
14,LP2 well-being prediction,PWB,autonomy,WBP014,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
15,LP2 well-being prediction,PWB,autonomy,WBP015,4.66666666666667,3,0,mean,PWB autonomy,-0.128817877923591
16,LP2 well-being prediction,PWB,autonomy,WBP016,4.66666666666667,6,0,mean,PWB autonomy,-0.128817877923591
17,LP2 well-being prediction,PWB,autonomy,WBP017,5,3,0,mean,PWB autonomy,0.153665996507841
18,LP2 well-being prediction,PWB,autonomy,WBP018,2.66666666666667,3,0,mean,PWB autonomy,-1.8237211245122
19,LP2 well-being prediction,PWB,autonomy,WBP019,6.33333333333333,3,0,mean,PWB autonomy,1.28360149423358
20,LP2 well-being prediction,PWB,autonomy,WBP020,5.66666666666667,3,0,mean,PWB autonomy,0.718633745370712
21,LP2 well-being prediction,PWB,autonomy,WBP021,3.66666666666667,3,0,mean,PWB autonomy,-0.976269501217894
22,LP2 well-being prediction,PWB,autonomy,WBP022,5.5,6,0,mean,PWB autonomy,0.577391808154993
