"","pID","type","prompt"
"1","WBP001","Text","SWLS"
"2","WBP001","Text","Autonomy"
"3","WBP002","Audio","SWLS"
"4","WBP002","Audio","Autonomy"
"5","WBP003","Audio","SWLS"
"6","WBP003","Audio","Autonomy"
"7","WBP004","Text","SWLS"
"8","WBP004","Text","Autonomy"
"9","WBP005","Audio","SWLS"
"10","WBP005","Audio","Autonomy"
"11","WBP006","Text","SWLS"
"12","WBP006","Text","Autonomy"
"13","WBP007","Text","SWLS"
"14","WBP007","Text","Autonomy"
"15","WBP008","Audio","SWLS"
"16","WBP008","Audio","Autonomy"
"17","WBP009","Text","SWLS"
"18","WBP009","Text","Autonomy"
"19","WBP010","Text","SWLS"
"20","WBP010","Text","Autonomy"
"21","WBP011","Audio","SWLS"
"22","WBP011","Audio","Autonomy"
"23","WBP012","Audio","SWLS"
"24","WBP012","Audio","Autonomy"
"25","WBP013","Text","SWLS"
"26","WBP013","Text","Autonomy"
"27","WBP014","Audio","SWLS"
"28","WBP014","Audio","Autonomy"
"29","WBP015","Text","SWLS"
"30","WBP015","Text","Autonomy"
"31","WBP016","Audio","SWLS"
"32","WBP016","Audio","Autonomy"
"33","WBP017","Text","SWLS"
"34","WBP017","Text","Autonomy"
"35","WBP018","Text","SWLS"
"36","WBP018","Text","Autonomy"
"37","WBP019","Text","SWLS"
"38","WBP019","Text","Autonomy"
"39","WBP020","Text","SWLS"
"40","WBP020","Text","Autonomy"
"41","WBP021","Audio","SWLS"
"42","WBP021","Audio","Autonomy"
"43","WBP022","Text","SWLS"
"44","WBP022","Text","SWLS"
"45","WBP022","Text","Autonomy"
"46","WBP022","Text","Autonomy"
"47","WBP023","Text","SWLS"
"48","WBP023","Text","Autonomy"
"49","WBP024","Audio","SWLS"
"50","WBP024","Audio","Autonomy"
"51","WBP024","Text","SWLS"
"52","WBP024","Text","Autonomy"
"53","WBP025","Audio","SWLS"
"54","WBP025","Audio","Autonomy"
"55","WBP026","Audio","SWLS"
"56","WBP026","Audio","Autonomy"
"57","WBP027","Audio","SWLS"
"58","WBP027","Audio","Autonomy"
"59","WBP028","Text","SWLS"
"60","WBP028","Text","Autonomy"
"61","WBP029","Text","SWLS"
"62","WBP029","Text","Autonomy"
"63","WBP030","Audio","SWLS"
"64","WBP030","Audio","Autonomy"
"65","WBP031","Audio","SWLS"
"66","WBP031","Audio","Autonomy"
"67","WBP032","Text","SWLS"
"68","WBP032","Text","Autonomy"
"69","WBP033","Text","SWLS"
"70","WBP033","Text","Autonomy"
"71","WBP034","Audio","SWLS"
"72","WBP034","Audio","Autonomy"
"73","WBP035","Text","SWLS"
"74","WBP035","Text","Autonomy"
"75","WBP036","Text","SWLS"
"76","WBP036","Text","Autonomy"
"77","WBP037","Text","SWLS"
"78","WBP037","Text","Autonomy"
"79","WBP038","Text","SWLS"
"80","WBP038","Text","Autonomy"
"81","WBP039","Audio","SWLS"
"82","WBP039","Audio","Autonomy"
"83","WBP040","Audio","SWLS"
"84","WBP040","Audio","Autonomy"
"85","WBP041","Text","SWLS"
"86","WBP041","Text","Autonomy"
"87","WBP042","Text","SWLS"
"88","WBP042","Text","Autonomy"
"89","WBP043","Text","SWLS"
"90","WBP043","Text","Autonomy"
"91","WBP044","Text","SWLS"
"92","WBP044","Text","Autonomy"
"93","WBP045","Text","SWLS"
"94","WBP045","Text","Autonomy"
"95","WBP046","Text","SWLS"
"96","WBP046","Text","Autonomy"
"97","WBP047","Text","SWLS"
"98","WBP047","Text","Autonomy"
"99","WBP048","Audio","SWLS"
"100","WBP048","Audio","Autonomy"
"101","WBP049","Audio","SWLS"
"102","WBP049","Audio","Autonomy"
"103","WBP049","Text","SWLS"
"104","WBP049","Text","Autonomy"
"105","WBP050","Audio","SWLS"
"106","WBP050","Audio","Autonomy"
"107","WBP051","Audio","SWLS"
"108","WBP051","Audio","Autonomy"
"109","WBP052","Text","SWLS"
"110","WBP052","Text","Autonomy"
"111","WBP053","Text","SWLS"
"112","WBP053","Text","Autonomy"
"113","WBP054","Text","SWLS"
"114","WBP054","Text","Autonomy"
"115","WBP055","Text","SWLS"
"116","WBP055","Text","Autonomy"
"117","WBP056","Audio","SWLS"
"118","WBP056","Audio","Autonomy"
"119","WBP057","Text","SWLS"
"120","WBP057","Text","Autonomy"
"121","WBP058","Text","SWLS"
"122","WBP058","Text","Autonomy"
"123","WBP059","Audio","SWLS"
"124","WBP059","Audio","Autonomy"
"125","WBP060","Audio","SWLS"
"126","WBP060","Audio","Autonomy"
"127","WBP061","Text","SWLS"
"128","WBP061","Text","Autonomy"
"129","WBP062","Audio","SWLS"
"130","WBP062","Audio","Autonomy"
"131","WBP063","Text","SWLS"
"132","WBP063","Text","Autonomy"
"133","WBP064","Audio","SWLS"
"134","WBP064","Audio","Autonomy"
"135","WBP065","Audio","SWLS"
"136","WBP065","Audio","Autonomy"
"137","WBP066","Text","SWLS"
"138","WBP066","Text","Autonomy"
"139","WBP067","Audio","SWLS"
"140","WBP067","Audio","Autonomy"
"141","WBP068","Text","SWLS"
"142","WBP068","Text","Autonomy"
"143","WBP069","Text","SWLS"
"144","WBP069","Text","Autonomy"
"145","WBP070","Text","SWLS"
"146","WBP070","Text","Autonomy"
"147","WBP071","Audio","SWLS"
"148","WBP071","Audio","Autonomy"
"149","WBP072","Audio","SWLS"
"150","WBP072","Audio","Autonomy"
"151","WBP073","Text","SWLS"
"152","WBP073","Text","Autonomy"
"153","WBP074","Text","SWLS"
"154","WBP074","Text","Autonomy"
"155","WBP075","Text","SWLS"
"156","WBP075","Text","Autonomy"
"157","WBP076","Text","SWLS"
"158","WBP076","Text","Autonomy"
"159","WBP077","Audio","SWLS"
"160","WBP077","Audio","Autonomy"
"161","WBP078","Audio","SWLS"
"162","WBP078","Audio","Autonomy"
"163","WBP079","Text","SWLS"
"164","WBP079","Text","Autonomy"
"165","WBP081","Text","SWLS"
"166","WBP081","Text","Autonomy"
"167","WBP082","Text","SWLS"
"168","WBP082","Text","Autonomy"
"169","WBP083","Audio","SWLS"
"170","WBP083","Audio","Autonomy"
"171","WBP084","Text","SWLS"
"172","WBP084","Text","Autonomy"
"173","WBP085","Text","SWLS"
"174","WBP085","Text","Autonomy"
"175","WBP086","Text","SWLS"
"176","WBP086","Text","Autonomy"
"177","WBP087","Audio","SWLS"
"178","WBP087","Audio","Autonomy"
"179","WBP088","Text","SWLS"
"180","WBP088","Text","Autonomy"
"181","WBP089","Text","SWLS"
"182","WBP089","Text","Autonomy"
"183","WBP090","Text","SWLS"
"184","WBP090","Text","Autonomy"
"185","WBP091","Text","SWLS"
"186","WBP091","Text","Autonomy"
"187","WBP092","Text","SWLS"
"188","WBP092","Text","Autonomy"
"189","WBP093","Text","SWLS"
"190","WBP093","Text","Autonomy"
"191","WBP094","Audio","SWLS"
"192","WBP094","Audio","Autonomy"
"193","WBP095","Audio","SWLS"
"194","WBP095","Audio","Autonomy"
"195","WBP095","Text","SWLS"
"196","WBP095","Text","Autonomy"
"197","WBP096","Text","SWLS"
"198","WBP096","Text","Autonomy"
"199","WBP097","Audio","SWLS"
"200","WBP097","Audio","Autonomy"
"201","WBP098","Audio","SWLS"
"202","WBP098","Audio","Autonomy"
"203","WBP098","Text","SWLS"
"204","WBP098","Text","Autonomy"
"205","WBP099","Audio","SWLS"
"206","WBP099","Audio","Autonomy"
"207","WBP100","Text","SWLS"
"208","WBP100","Text","Autonomy"
"209","WBP101","Text","SWLS"
"210","WBP101","Text","Autonomy"
"211","WBP102","Audio","SWLS"
"212","WBP102","Audio","Autonomy"
"213","WBP103","Text","SWLS"
"214","WBP103","Text","SWLS"
"215","WBP103","Text","Autonomy"
"216","WBP103","Text","Autonomy"
"217","WBP104","Text","SWLS"
"218","WBP104","Text","Autonomy"
"219","WBP105","Audio","SWLS"
"220","WBP105","Audio","Autonomy"
"221","WBP106","Text","SWLS"
"222","WBP106","Text","Autonomy"
"223","WBP107","Audio","SWLS"
"224","WBP107","Audio","Autonomy"
"225","WBP108","Text","SWLS"
"226","WBP108","Text","Autonomy"
"227","WBP109","Audio","SWLS"
"228","WBP109","Audio","Autonomy"
"229","WBP110","Audio","SWLS"
"230","WBP110","Audio","Autonomy"
"231","WBP110","Text","SWLS"
"232","WBP110","Text","Autonomy"
"233","WBP111","Audio","SWLS"
"234","WBP111","Audio","Autonomy"
"235","WBP111","Text","SWLS"
"236","WBP111","Text","Autonomy"
"237","WBP112","Audio","SWLS"
"238","WBP112","Audio","Autonomy"
"239","WBP113","Text","SWLS"
"240","WBP113","Text","Autonomy"
"241","WBP114","Text","SWLS"
"242","WBP114","Text","Autonomy"
"243","WBP115","Text","SWLS"
"244","WBP115","Text","Autonomy"
"245","WBP116","Text","SWLS"
"246","WBP116","Text","Autonomy"
"247","WBP117","Audio","SWLS"
"248","WBP117","Audio","Autonomy"
"249","WBP118","Text","SWLS"
"250","WBP118","Text","Autonomy"
"251","WBP119","Text","SWLS"
"252","WBP119","Text","Autonomy"
"253","WBP120","Audio","SWLS"
"254","WBP120","Audio","Autonomy"
"255","WBP121","Audio","SWLS"
"256","WBP121","Audio","Autonomy"
